TaskID,ProjectID,Title,Description,Deadline,Status
1001,115,Testing & QA,Execute ui/ux wireframing for project 115.,2026-01-06,Pending
1002,175,Final Handover,Execute client review for project 175.,2026-08-05,In Progress
1003,151,Backend Development,Execute ui/ux wireframing for project 151.,2026-09-01,Completed
1004,132,Testing & QA,Execute final handover for project 132.,2026-07-05,Completed
1005,116,Final Handover,Execute requirements gathering for project 116.,2026-08-18,Completed
1006,145,Client Review,Execute deployment for project 145.,2026-05-07,Completed
1007,109,Deployment,Execute requirements gathering for project 109.,2026-06-16,Completed
1008,154,Revisions,Execute ui/ux wireframing for project 154.,2026-05-15,Completed
1009,156,Revisions,Execute frontend development for project 156.,2026-06-13,Completed
1010,156,Documentation,Execute testing & qa for project 156.,2026-06-19,Completed
1011,169,Revisions,Execute revisions for project 169.,2026-06-26,Completed
1012,156,Final Handover,Execute testing & qa for project 156.,2026-05-29,Completed
1013,142,UI/UX Wireframing,Execute testing & qa for project 142.,2026-09-20,Pending
1014,158,Revisions,Execute final handover for project 158.,2026-05-11,Pending
1015,149,Revisions,Execute deployment for project 149.,2026-08-24,Pending
1016,124,Deployment,Execute testing & qa for project 124.,2026-05-30,Pending
1017,144,Final Handover,Execute testing & qa for project 144.,2026-03-09,Completed
1018,172,Documentation,Execute backend development for project 172.,2026-12-28,Pending
1019,111,Client Review,Execute revisions for project 111.,2026-06-06,Completed
1020,172,Backend Development,Execute revisions for project 172.,2026-12-04,Pending
1021,163,UI/UX Wireframing,Execute testing & qa for project 163.,2026-05-07,Pending
1022,129,Backend Development,Execute testing & qa for project 129.,2026-08-09,Completed
1023,175,Documentation,Execute documentation for project 175.,2026-07-25,In Progress
1024,145,Documentation,Execute deployment for project 145.,2026-05-11,Completed
1025,146,Testing & QA,Execute testing & qa for project 146.,2026-05-12,In Progress
1026,133,Backend Development,Execute deployment for project 133.,2026-11-13,Pending
1027,116,Documentation,Execute frontend development for project 116.,2026-08-20,Completed
1028,125,Revisions,Execute testing & qa for project 125.,2026-02-11,Completed
1029,168,UI/UX Wireframing,Execute backend development for project 168.,2026-05-23,In Progress
1030,138,Frontend Development,Execute testing & qa for project 138.,2026-11-01,In Progress
1031,102,Documentation,Execute frontend development for project 102.,2026-08-09,Completed
1032,136,Requirements Gathering,Execute documentation for project 136.,2026-07-07,Completed
1033,138,Revisions,Execute ui/ux wireframing for project 138.,2026-10-17,Pending
1034,102,Testing & QA,Execute revisions for project 102.,2026-08-13,Completed
1035,162,Deployment,Execute frontend development for project 162.,2026-08-17,Completed
1036,107,Revisions,Execute ui/ux wireframing for project 107.,2026-05-10,Completed
1037,109,Revisions,Execute ui/ux wireframing for project 109.,2026-06-20,Completed
1038,174,Requirements Gathering,Execute frontend development for project 174.,2026-03-08,Completed
1039,120,Testing & QA,Execute ui/ux wireframing for project 120.,2026-07-06,Completed
1040,132,Client Review,Execute final handover for project 132.,2026-07-05,Completed
1041,129,Documentation,Execute client review for project 129.,2026-07-28,Completed
1042,158,Testing & QA,Execute final handover for project 158.,2026-05-04,Pending
1043,155,Final Handover,Execute final handover for project 155.,2026-09-25,Completed
1044,108,UI/UX Wireframing,Execute backend development for project 108.,2026-05-15,Completed
1045,128,UI/UX Wireframing,Execute frontend development for project 128.,2026-02-25,Completed
1046,131,Documentation,Execute ui/ux wireframing for project 131.,2026-06-08,Pending
1047,121,Client Review,Execute revisions for project 121.,2026-11-11,Completed
1048,161,Requirements Gathering,Execute backend development for project 161.,2026-09-21,Pending
1049,137,Testing & QA,Execute revisions for project 137.,2026-06-14,Completed
1050,110,Testing & QA,Execute final handover for project 110.,2026-10-18,Pending
1051,126,Documentation,Execute backend development for project 126.,2026-07-14,Pending
1052,120,UI/UX Wireframing,Execute requirements gathering for project 120.,2026-07-23,Pending
1053,122,Testing & QA,Execute final handover for project 122.,2026-05-05,Completed
1054,173,Revisions,Execute ui/ux wireframing for project 173.,2026-01-30,Completed
1055,160,Client Review,Execute testing & qa for project 160.,2026-11-02,In Progress
1056,165,Revisions,Execute ui/ux wireframing for project 165.,2026-09-08,In Progress
1057,106,Deployment,Execute final handover for project 106.,2026-11-15,In Progress
1058,133,Backend Development,Execute final handover for project 133.,2026-11-20,Pending
1059,103,Testing & QA,Execute final handover for project 103.,2026-05-18,Completed
1060,106,Revisions,Execute documentation for project 106.,2026-11-19,Pending
1061,157,Final Handover,Execute client review for project 157.,2026-03-03,Pending
1062,163,Deployment,Execute client review for project 163.,2026-05-19,In Progress
1063,143,UI/UX Wireframing,Execute frontend development for project 143.,2026-06-13,Completed
1064,143,Revisions,Execute testing & qa for project 143.,2026-06-10,Completed
1065,152,Documentation,Execute requirements gathering for project 152.,2026-08-17,Completed
1066,159,Testing & QA,Execute deployment for project 159.,2026-09-22,In Progress
1067,115,Documentation,Execute requirements gathering for project 115.,2026-01-06,In Progress
1068,170,Client Review,Execute requirements gathering for project 170.,2026-05-24,Completed
1069,125,Deployment,Execute final handover for project 125.,2026-02-01,Completed
1070,164,Requirements Gathering,Execute backend development for project 164.,2026-01-23,In Progress
1071,135,Frontend Development,Execute testing & qa for project 135.,2026-08-20,Pending
1072,157,Revisions,Execute ui/ux wireframing for project 157.,2026-02-11,Completed
1073,104,Backend Development,Execute frontend development for project 104.,2026-05-24,Completed
1074,140,Documentation,Execute client review for project 140.,2026-06-16,Pending
1075,112,Revisions,Execute ui/ux wireframing for project 112.,2026-06-10,Pending
1076,120,Testing & QA,Execute documentation for project 120.,2026-07-16,Completed
1077,135,Revisions,Execute revisions for project 135.,2026-08-24,Pending
1078,132,Frontend Development,Execute client review for project 132.,2026-06-24,Completed
1079,125,Documentation,Execute frontend development for project 125.,2026-01-29,Completed
1080,109,Client Review,Execute deployment for project 109.,2026-06-24,Completed
1081,165,Testing & QA,Execute testing & qa for project 165.,2026-09-17,Pending
1082,175,Frontend Development,Execute revisions for project 175.,2026-07-15,In Progress
1083,169,Deployment,Execute deployment for project 169.,2026-07-05,Completed
1084,171,Client Review,Execute revisions for project 171.,2026-01-31,Completed
1085,142,Backend Development,Execute final handover for project 142.,2026-09-20,Pending
1086,150,Client Review,Execute requirements gathering for project 150.,2026-02-16,Completed
1087,141,Client Review,Execute client review for project 141.,2026-12-07,In Progress
1088,120,Frontend Development,Execute documentation for project 120.,2026-07-16,Pending
1089,143,UI/UX Wireframing,Execute revisions for project 143.,2026-05-27,Completed
1090,113,Revisions,Execute requirements gathering for project 113.,2026-12-03,Completed
1091,119,Frontend Development,Execute ui/ux wireframing for project 119.,2026-08-24,Completed
1092,161,Testing & QA,Execute deployment for project 161.,2026-09-05,Pending
1093,151,UI/UX Wireframing,Execute deployment for project 151.,2026-09-03,Completed
1094,169,Deployment,Execute revisions for project 169.,2026-07-08,Completed
1095,170,Final Handover,Execute ui/ux wireframing for project 170.,2026-06-06,Completed
1096,131,Testing & QA,Execute backend development for project 131.,2026-05-24,Pending
1097,112,UI/UX Wireframing,Execute revisions for project 112.,2026-06-04,Pending
1098,122,Testing & QA,Execute requirements gathering for project 122.,2026-05-08,Completed
1099,106,Testing & QA,Execute deployment for project 106.,2026-12-03,Pending
