ProjectID,ClientID,Title,Description,Deadline,Status
101,26,Logo Design for Tech,Comprehensive logo design for tech including all deliverables as per contract.,2026-06-06,Completed
102,3,Security Audit for Retail,Comprehensive security audit for retail including all deliverables as per contract.,2026-09-02,Completed
103,37,API Integration for Finance,Comprehensive api integration for finance including all deliverables as per contract.,2026-06-13,In Progress
104,46,Cloud Hosting Setup for Healthcare,Comprehensive cloud hosting setup for healthcare including all deliverables as per contract.,2026-06-15,In Progress
105,43,Database Migration for Education,Comprehensive database migration for education including all deliverables as per contract.,2026-07-11,Cancelled
106,5,Website Redesign for Education,Comprehensive website redesign for education including all deliverables as per contract.,2026-12-15,Cancelled
107,7,Logo Design for Tech,Comprehensive logo design for tech including all deliverables as per contract.,2026-05-20,Completed
108,9,Cloud Hosting Setup for Retail,Comprehensive cloud hosting setup for retail including all deliverables as per contract.,2026-06-05,In Progress
109,11,E-commerce Platform for Tech,Comprehensive e-commerce platform for tech including all deliverables as per contract.,2026-07-04,Completed
110,52,API Integration for Retail,Comprehensive api integration for retail including all deliverables as per contract.,2026-11-10,In Progress
111,43,Logo Design for Healthcare,Comprehensive logo design for healthcare including all deliverables as per contract.,2026-06-15,In Progress
112,7,API Integration for Healthcare,Comprehensive api integration for healthcare including all deliverables as per contract.,2026-06-19,In Progress
113,14,Cloud Hosting Setup for Healthcare,Comprehensive cloud hosting setup for healthcare including all deliverables as per contract.,2026-12-21,Completed
114,33,E-commerce Platform for Finance,Comprehensive e-commerce platform for finance including all deliverables as per contract.,2026-02-26,Pending
115,28,Database Migration for Retail,Comprehensive database migration for retail including all deliverables as per contract.,2026-02-01,In Progress
116,9,Database Migration for Healthcare,Comprehensive database migration for healthcare including all deliverables as per contract.,2026-09-14,Completed
117,28,API Integration for Retail,Comprehensive api integration for retail including all deliverables as per contract.,2026-03-29,Pending
118,45,SEO Optimization for Tech,Comprehensive seo optimization for tech including all deliverables as per contract.,2026-02-18,Completed
119,38,API Integration for Healthcare,Comprehensive api integration for healthcare including all deliverables as per contract.,2026-09-08,In Progress
120,20,Cloud Hosting Setup for Retail,Comprehensive cloud hosting setup for retail including all deliverables as per contract.,2026-08-02,In Progress
121,16,Logo Design for Finance,Comprehensive logo design for finance including all deliverables as per contract.,2026-11-13,Completed
122,27,Security Audit for Healthcare,Comprehensive security audit for healthcare including all deliverables as per contract.,2026-06-01,Completed
123,52,SEO Optimization for Education,Comprehensive seo optimization for education including all deliverables as per contract.,2026-02-12,In Progress
124,22,Marketing Campaign for Healthcare,Comprehensive marketing campaign for healthcare including all deliverables as per contract.,2026-06-16,In Progress
125,45,Logo Design for Education,Comprehensive logo design for education including all deliverables as per contract.,2026-02-19,Completed
126,15,Mobile App Development for Education,Comprehensive mobile app development for education including all deliverables as per contract.,2026-07-29,In Progress
127,51,Mobile App Development for Healthcare,Comprehensive mobile app development for healthcare including all deliverables as per contract.,2026-02-12,Completed
128,26,Cloud Hosting Setup for Finance,Comprehensive cloud hosting setup for finance including all deliverables as per contract.,2026-03-07,Cancelled
129,18,Cloud Hosting Setup for Tech,Comprehensive cloud hosting setup for tech including all deliverables as per contract.,2026-08-23,Completed
130,54,API Integration for Finance,Comprehensive api integration for finance including all deliverables as per contract.,2026-02-14,In Progress
131,17,SEO Optimization for Tech,Comprehensive seo optimization for tech including all deliverables as per contract.,2026-06-15,Pending
132,39,Marketing Campaign for Finance,Comprehensive marketing campaign for finance including all deliverables as per contract.,2026-07-10,In Progress
133,33,Logo Design for Education,Comprehensive logo design for education including all deliverables as per contract.,2026-11-22,In Progress
134,3,Marketing Campaign for Retail,Comprehensive marketing campaign for retail including all deliverables as per contract.,2026-10-24,Cancelled
135,35,Mobile App Development for Finance,Comprehensive mobile app development for finance including all deliverables as per contract.,2026-09-08,Pending
136,43,Cloud Hosting Setup for Tech,Comprehensive cloud hosting setup for tech including all deliverables as per contract.,2026-07-10,Completed
137,8,Database Migration for Tech,Comprehensive database migration for tech including all deliverables as per contract.,2026-07-08,Completed
138,21,Marketing Campaign for Finance,Comprehensive marketing campaign for finance including all deliverables as per contract.,2026-11-10,In Progress
139,27,Marketing Campaign for Healthcare,Comprehensive marketing campaign for healthcare including all deliverables as per contract.,2026-12-12,Completed
140,26,API Integration for Retail,Comprehensive api integration for retail including all deliverables as per contract.,2026-07-05,In Progress
141,28,Security Audit for Tech,Comprehensive security audit for tech including all deliverables as per contract.,2027-01-01,In Progress
142,29,E-commerce Platform for Healthcare,Comprehensive e-commerce platform for healthcare including all deliverables as per contract.,2026-10-19,In Progress
143,51,SEO Optimization for Retail,Comprehensive seo optimization for retail including all deliverables as per contract.,2026-06-25,Completed
144,41,Security Audit for Finance,Comprehensive security audit for finance including all deliverables as per contract.,2026-03-19,Completed
145,49,Mobile App Development for Finance,Comprehensive mobile app development for finance including all deliverables as per contract.,2026-05-26,Completed
146,10,Website Redesign for Retail,Comprehensive website redesign for retail including all deliverables as per contract.,2026-06-05,Cancelled
147,40,Logo Design for Education,Comprehensive logo design for education including all deliverables as per contract.,2026-08-31,Completed
148,37,Mobile App Development for Education,Comprehensive mobile app development for education including all deliverables as per contract.,2026-10-11,In Progress
149,10,Website Redesign for Retail,Comprehensive website redesign for retail including all deliverables as per contract.,2026-09-05,In Progress
150,52,API Integration for Education,Comprehensive api integration for education including all deliverables as per contract.,2026-02-25,Completed
151,8,E-commerce Platform for Healthcare,Comprehensive e-commerce platform for healthcare including all deliverables as per contract.,2026-09-25,Completed
152,36,Security Audit for Finance,Comprehensive security audit for finance including all deliverables as per contract.,2026-09-14,Completed
